InventoryID	Squib
1	kor_SPA1979_phon.pdf
2	ket_SPA1979_phon.pdf
3	lbe_SPA1979_phon.pdf
4	kbd_SPA1979_phon.pdf
5	kat_SPA1979_phon.pdf
6	bsk_SPA1979_phon.pdf
7	kru_SPA1979_phon.pdf
8	tel_SPA1979_phon.pdf
9	kfe_SPA1979_phon.pdf
10	unr_SPA1979_phon.pdf
11	khr_SPA1979_phon.pdf
12	kha_SPA1979_phon.pdf
13	sed_SPA1979_phon.pdf
14	khm_SPA1979_phon.pdf
15	vie_SPA1979_phon.pdf
16	cmn_SPA1979_phon.pdf
17	wuu_SPA1979_phon.pdf
18	hak_SPA1979_phon.pdf
19	yue_SPA1979_phon.pdf
20	ium_SPA1979_phon.pdf
21	dap_SPA1979_phon.pdf
22	mya_SPA1979_phon.pdf
23	lhu_SPA1979_phon.pdf
24	grt_SPA1979_phon.pdf
25	ksw_SPA1979_phon.pdf
26	lbc_SPA1979_phon.pdf
27	tha_SPA1979_phon.pdf
28	pcc_SPA1979_phon.pdf
29	cja_SPA1979_phon.pdf
30	tay_SPA1979_phon.pdf
31	plt_SPA1979_phon.pdf
32	zsm_SPA1979_phon.pdf
33	btx_SPA1979_phon.pdf
34	snv_SPA1979_phon.pdf
35	sun_SPA1979_phon.pdf
36	jav_SPA1979_phon.pdf
37	tgl_SPA1979_phon.pdf
38	cha_SPA1979_phon.pdf
39	iai_SPA1979_phon.pdf
40	khl_SPA1979_phon.pdf
41	azr_SPA1979_phon.pdf
42	mri_SPA1979_phon.pdf
43	haw_SPA1979_phon.pdf
44	ant_SPA1979_phon.pdf
45	nna_SPA1979_phon.pdf
46	kjn_SPA1979_phon.pdf
47	zmr_SPA1979_phon.pdf
48	mph_SPA1979_phon.pdf
49	nuy_SPA1979_phon.pdf
50	alh_SPA1979_phon.pdf
51	wim_SPA1979_phon.pdf
52	set_SPA1979_phon.pdf
53	kmo_SPA1979_phon.pdf
54	tml_SPA1979_phon.pdf
55	tlf_SPA1979_phon.pdf
56	gaj_SPA1979_phon.pdf
57	auy_SPA1979_phon.pdf
58	kup_SPA1979_phon.pdf
59	spl_SPA1979_phon.pdf
60	nas_SPA1979_phon.pdf
61	ale_SPA1979_phon.pdf
62	kal_SPA1979_phon.pdf
63	chp_SPA1979_phon.pdf
64	tol_SPA1979_phon.pdf
65	hup_SPA1979_phon.pdf
66	nav_SPA1979_phon.pdf
67	hdn_SPA1979_phon.pdf
68	squ_SPA1979_phon.pdf
69	str_SPA1979_phon.pdf
70	noo_SPA1979_phon.pdf
71	kwk_SPA1979_phon.pdf
72	ojg_SPA1979_phon.pdf
73	unm_SPA1979_phon.pdf
74	wic_SPA1979_phon.pdf
75	lkt_SPA1979_phon.pdf
76	see_SPA1979_phon.pdf
77	one_SPA1979_phon.pdf
78	yuc_SPA1979_phon.pdf
79	akz_SPA1979_phon.pdf
80	tun_SPA1979_phon.pdf
81	nez_SPA1979_phon.pdf
82	nmu_SPA1979_phon.pdf
83	zoc_SPA1979_phon.pdf
84	top_SPA1979_phon.pdf
85	chf_SPA1979_phon.pdf
86	tzh_SPA1979_phon.pdf
87	tsz_SPA1979_phon.pdf
88	kyh_SPA1979_phon.pdf
89	pom_SPA1979_phon.pdf
90	dih_SPA1979_phon.pdf
91	zun_SPA1979_phon.pdf
92	tix_SPA1979_phon.pdf
93	tew_SPA1979_phon.pdf
94	lui_SPA1979_phon.pdf
95	hop_SPA1979_phon.pdf
96	ood_SPA1979_phon.pdf
97	ote_SPA1979_phon.pdf
98	maz_SPA1979_phon.pdf
99	maq_SPA1979_phon.pdf
100	mig_SPA1979_phon.pdf
101	cbi_SPA1979_phon.pdf
102	pbb_SPA1979_phon.pdf
103	ito_SPA1979_phon.pdf
104	quh_SPA1979_phon.pdf
105	ayr_SPA1979_phon.pdf
106	arn_SPA1979_phon.pdf
107	crb_SPA1979_phon.pdf
108	wap_SPA1979_phon.pdf
109	guc_SPA1979_phon.pdf
110	cni_SPA1979_phon.pdf
111	ign_SPA1979_phon.pdf
112	ame_SPA1979_phon.pdf
113	jiv_SPA1979_phon.pdf
114	bao_SPA1979_phon.pdf
115	tca_SPA1979_phon.pdf
116	car_SPA1979_phon.pdf
117	oca_SPA1979_phon.pdf
118	srq_SPA1979_phon.pdf
119	gug_SPA1979_phon.pdf
120	amc_SPA1979_phon.pdf
121	cao_SPA1979_phon.pdf
122	apn_SPA1979_phon.pdf
123	rif_SPA1979_phon.pdf
124	hau_SPA1979_phon.pdf
125	anc_SPA1979_phon.pdf
126	mrt_SPA1979_phon.pdf
127	som_SPA1979_phon.pdf
128	awn_SPA1979_phon.pdf
129	irk_SPA1979_phon.pdf
130	tig_SPA1979_phon.pdf
131	amh_SPA1979_phon.pdf
132	arz_SPA1979_phon.pdf
133	ary_SPA1979_phon.pdf
134	mlt_SPA1979_phon.pdf
135	heb_SPA1979_phon.pdf
136	xtc_SPA1979_phon.pdf
137	xpe_SPA1979_phon.pdf
138	wol_SPA1979_phon.pdf
139	dag_SPA1979_phon.pdf
140	aka_SPA1979_phon.pdf
141	gaa_SPA1979_phon.pdf
142	ewe_SPA1979_phon.pdf
143	ibo_SPA1979_phon.pdf
144	beq_SPA1979_phon.pdf
145	swh_SPA1979_phon.pdf
