InventoryID	URL
1	NA
2	NA
3	NA
4	NA
5	NA
6	NA
7	NA
8	NA
9	NA
10	NA
11	NA
12	NA
13	NA
14	NA
15	NA
16	NA
17	NA
18	NA
19	NA
20	NA
21	NA
22	NA
23	NA
24	NA
25	NA
26	NA
27	NA
28	NA
29	NA
30	NA
31	NA
32	NA
33	NA
34	NA
35	NA
36	NA
37	NA
38	NA
39	NA
40	NA
41	NA
42	NA
43	NA
44	NA
45	NA
46	NA
47	NA
48	NA
49	NA
50	NA
51	NA
52	NA
53	NA
54	NA
55	NA
56	NA
57	NA
58	NA
59	NA
60	NA
61	NA
62	NA
63	NA
64	NA
65	NA
66	NA
67	NA
68	NA
69	NA
70	NA
71	NA
72	NA
73	NA
74	NA
75	NA
76	NA
77	NA
78	NA
79	NA
80	NA
81	NA
82	NA
83	NA
84	NA
85	NA
86	NA
87	NA
88	NA
89	NA
90	NA
91	NA
92	NA
93	NA
94	NA
95	NA
96	NA
97	NA
98	NA
99	NA
100	NA
101	NA
102	NA
103	NA
104	NA
105	NA
106	NA
107	NA
108	NA
109	NA
110	NA
111	NA
112	NA
113	NA
114	NA
115	NA
116	NA
117	NA
118	NA
119	NA
120	NA
121	NA
122	NA
123	NA
124	NA
125	NA
126	NA
127	NA
128	NA
129	NA
130	NA
131	NA
132	NA
133	NA
134	NA
135	NA
136	NA
137	NA
138	NA
139	NA
140	NA
141	NA
142	NA
143	NA
144	NA
145	NA
146	NA
147	NA
148	NA
149	NA
150	NA
151	NA
152	NA
153	NA
154	NA
155	NA
156	NA
157	NA
158	NA
159	NA
160	NA
161	NA
162	NA
163	NA
164	NA
165	NA
166	NA
167	NA
168	NA
169	NA
170	NA
171	NA
172	NA
173	NA
174	NA
175	NA
176	NA
177	NA
178	NA
179	NA
180	NA
181	NA
182	NA
183	NA
184	NA
185	NA
186	NA
187	NA
188	NA
189	NA
190	NA
191	NA
192	NA
193	NA
194	NA
195	NA
196	NA
197	NA
198	http://web.phonetik.uni-frankfurt.de/L/L4373.html
199	http://web.phonetik.uni-frankfurt.de/L/L6744.html
200	http://web.phonetik.uni-frankfurt.de/L/L2419.html
201	http://web.phonetik.uni-frankfurt.de/L/L8362.html
202	http://web.phonetik.uni-frankfurt.de/L/L8635.html
203	http://web.phonetik.uni-frankfurt.de/L/L8627.html
204	http://web.phonetik.uni-frankfurt.de/L/L4134.html
205	http://web.phonetik.uni-frankfurt.de/L/L4131.html
206	http://web.phonetik.uni-frankfurt.de/L/L6108.html
207	http://web.phonetik.uni-frankfurt.de/L/L2140.html
208	http://web.phonetik.uni-frankfurt.de/L/L4115.html
209	http://web.phonetik.uni-frankfurt.de/L/L6853.html
210	http://web.phonetik.uni-frankfurt.de/L/L6759.html
211	http://web.phonetik.uni-frankfurt.de/L/L6859.html
212	http://web.phonetik.uni-frankfurt.de/L/L4152.html
213	http://web.phonetik.uni-frankfurt.de/L/L6900.html
214	http://web.phonetik.uni-frankfurt.de/L/L8354.html
215	http://web.phonetik.uni-frankfurt.de/L/L2021.html
216	http://web.phonetik.uni-frankfurt.de/L/L6810.html
217	http://web.phonetik.uni-frankfurt.de/L/L6824.html
218	http://web.phonetik.uni-frankfurt.de/L/L4365.html
219	http://web.phonetik.uni-frankfurt.de/L/L4352.html
220	http://web.phonetik.uni-frankfurt.de/L/L4122.html
221	http://web.phonetik.uni-frankfurt.de/L/L8634.html
222	http://web.phonetik.uni-frankfurt.de/L/L6770.html
223	http://web.phonetik.uni-frankfurt.de/L/L4367.html
224	http://web.phonetik.uni-frankfurt.de/L/L6851.html
225	http://web.phonetik.uni-frankfurt.de/L/L8360.html
226	http://web.phonetik.uni-frankfurt.de/L/L6809.html
227	http://web.phonetik.uni-frankfurt.de/L/L8600.html
228	http://web.phonetik.uni-frankfurt.de/L/L2605.html
229	http://web.phonetik.uni-frankfurt.de/L/L6817.html
230	http://web.phonetik.uni-frankfurt.de/L/L6837.html
231	http://web.phonetik.uni-frankfurt.de/L/L4350.html
232	http://web.phonetik.uni-frankfurt.de/L/L6818.html
233	http://web.phonetik.uni-frankfurt.de/L/L2606.html
234	http://web.phonetik.uni-frankfurt.de/L/L4359.html
235	http://web.phonetik.uni-frankfurt.de/L/L6815.html
236	http://web.phonetik.uni-frankfurt.de/L/L2159.html
237	http://web.phonetik.uni-frankfurt.de/L/L2163.html
238	http://web.phonetik.uni-frankfurt.de/L/L4105.html
239	http://web.phonetik.uni-frankfurt.de/L/L6832.html
240	http://web.phonetik.uni-frankfurt.de/L/L4113.html
241	http://web.phonetik.uni-frankfurt.de/L/L2413.html
242	http://web.phonetik.uni-frankfurt.de/L/L2604.html
243	http://web.phonetik.uni-frankfurt.de/L/L4138.html
244	http://web.phonetik.uni-frankfurt.de/L/L2506.html
245	http://web.phonetik.uni-frankfurt.de/L/L8357.html
246	http://web.phonetik.uni-frankfurt.de/L/L4136.html
247	http://web.phonetik.uni-frankfurt.de/L/L2412.html
248	http://web.phonetik.uni-frankfurt.de/L/L8368.html
249	http://web.phonetik.uni-frankfurt.de/L/L4361.html
250	http://web.phonetik.uni-frankfurt.de/L/L2017.html
251	http://web.phonetik.uni-frankfurt.de/L/L4123.html
252	http://web.phonetik.uni-frankfurt.de/L/L4144.html
253	http://web.phonetik.uni-frankfurt.de/L/L4104.html
254	http://web.phonetik.uni-frankfurt.de/L/L6856.html
255	http://web.phonetik.uni-frankfurt.de/L/L6771.html
256	http://web.phonetik.uni-frankfurt.de/L/L6806.html
257	http://web.phonetik.uni-frankfurt.de/L/L4120.html
258	http://web.phonetik.uni-frankfurt.de/L/L6850.html
259	http://web.phonetik.uni-frankfurt.de/L/L2311.html
260	http://web.phonetik.uni-frankfurt.de/L/L2002.html
261	http://web.phonetik.uni-frankfurt.de/L/L2917.html
262	http://web.phonetik.uni-frankfurt.de/L/L2316.html
263	http://web.phonetik.uni-frankfurt.de/L/L2515.html
264	http://web.phonetik.uni-frankfurt.de/L/L2715.html
265	http://web.phonetik.uni-frankfurt.de/L/L2009.html
266	http://web.phonetik.uni-frankfurt.de/L/L8352.html
267	http://web.phonetik.uni-frankfurt.de/L/L8631.html
268	http://web.phonetik.uni-frankfurt.de/L/L6801.html
269	http://web.phonetik.uni-frankfurt.de/L/L6775.html
270	http://web.phonetik.uni-frankfurt.de/L/L6814.html
271	http://web.phonetik.uni-frankfurt.de/L/L2313.html
272	http://web.phonetik.uni-frankfurt.de/L/L6807.html
273	http://web.phonetik.uni-frankfurt.de/L/L6803.html
274	http://web.phonetik.uni-frankfurt.de/L/L2315.html
275	http://web.phonetik.uni-frankfurt.de/L/L6864.html
276	http://web.phonetik.uni-frankfurt.de/L/L2505.html
277	http://web.phonetik.uni-frankfurt.de/L/L2416.html
278	http://web.phonetik.uni-frankfurt.de/L/L6106.html
279	http://web.phonetik.uni-frankfurt.de/L/L6786.html
280	http://web.phonetik.uni-frankfurt.de/L/L6781.html
281	http://web.phonetik.uni-frankfurt.de/L/L2160.html
282	http://web.phonetik.uni-frankfurt.de/L/L2411.html
283	http://web.phonetik.uni-frankfurt.de/L/L6773.html
284	http://web.phonetik.uni-frankfurt.de/L/L8611.html
285	http://web.phonetik.uni-frankfurt.de/L/L2708.html
286	http://web.phonetik.uni-frankfurt.de/L/L2500.html
287	http://web.phonetik.uni-frankfurt.de/L/L2432.html
288	http://web.phonetik.uni-frankfurt.de/L/L6825.html
289	http://web.phonetik.uni-frankfurt.de/L/L6836.html
290	http://web.phonetik.uni-frankfurt.de/L/L4145.html
291	http://web.phonetik.uni-frankfurt.de/L/L2519.html
292	http://web.phonetik.uni-frankfurt.de/L/L6823.html
293	http://web.phonetik.uni-frankfurt.de/L/L2513.html
294	http://web.phonetik.uni-frankfurt.de/L/L6729.html
295	http://web.phonetik.uni-frankfurt.de/L/L6846.html
296	http://web.phonetik.uni-frankfurt.de/L/L6840.html
297	http://web.phonetik.uni-frankfurt.de/L/L4374.html
298	http://web.phonetik.uni-frankfurt.de/L/L4106.html
299	http://web.phonetik.uni-frankfurt.de/L/L4110.html
300	http://web.phonetik.uni-frankfurt.de/L/L4225.html
301	http://web.phonetik.uni-frankfurt.de/L/L4372.html
302	http://web.phonetik.uni-frankfurt.de/L/L2508.html
303	http://web.phonetik.uni-frankfurt.de/L/L8371.html
304	http://web.phonetik.uni-frankfurt.de/L/L2004.html
305	http://web.phonetik.uni-frankfurt.de/L/L8367.html
306	http://web.phonetik.uni-frankfurt.de/L/L6743.html
307	http://web.phonetik.uni-frankfurt.de/L/L4226.html
308	http://web.phonetik.uni-frankfurt.de/L/L8613.html
309	http://web.phonetik.uni-frankfurt.de/L/L2404.html
310	http://web.phonetik.uni-frankfurt.de/L/L4128.html
311	http://web.phonetik.uni-frankfurt.de/L/L2417.html
312	http://web.phonetik.uni-frankfurt.de/L/L2176.html
313	http://web.phonetik.uni-frankfurt.de/L/L4170.html
314	http://web.phonetik.uni-frankfurt.de/L/L8375.html
315	http://web.phonetik.uni-frankfurt.de/L/L4108.html
316	http://web.phonetik.uni-frankfurt.de/L/L4119.html
317	http://web.phonetik.uni-frankfurt.de/L/L8650.html
318	http://web.phonetik.uni-frankfurt.de/L/L2000.html
319	http://web.phonetik.uni-frankfurt.de/L/L6902.html
320	http://web.phonetik.uni-frankfurt.de/L/L4125.html
321	http://web.phonetik.uni-frankfurt.de/L/L2714.html
322	http://web.phonetik.uni-frankfurt.de/L/L2167.html
323	http://web.phonetik.uni-frankfurt.de/L/L4114.html
324	http://web.phonetik.uni-frankfurt.de/L/L4141.html
325	http://web.phonetik.uni-frankfurt.de/L/L6109.html
326	http://web.phonetik.uni-frankfurt.de/L/L8617.html
327	http://web.phonetik.uni-frankfurt.de/L/L4206.html
328	http://web.phonetik.uni-frankfurt.de/L/L2439.html
